,,,,,,,,,,,,,,,,,,,
Base Technology,Product,Emphasis,License Type,SaaS Hosted,App Deploy Method,Buildpack Support,Docker Support,Stateful Application Hosting,Rocket Support,AWS,GAE,VMWare,OpenStack,Application Management UI,Service Discovery,Admin UI,Developer UI,Language support,Data Architecture
Cloud Foundry,O/S Cloud Foundry,12 factor app,Apache 2,no,application upload api,yes,partial,no,no,,,,,,partial,no,no,any,
Cloud Foundry,Pivotal CF,,Proprietary,yes,application upload api,yes,partial,no,no,,,,,,partial,,,any,
Cloud Foundry,HPE Helion Development Platform,,Proprietary,no,application upload api,yes,partial,no,no,,,,,,partial,,,any,
Cloud Foundry,IBM BlueMix,,Proprietary,yes,application upload api,yes,partial,no,no,,,,,,partial,,,any,
Cloud Foundry,Lattice,,Apache 2,no,application upload api/ docker image,yes,partial,no,no,,,,,,partial,,,any,
Cloud Foundry,Iron Foundry,,Apache 2,yes,application upload api,yes,partial,no,no,,,,,,partial,,,any,
Kubernetes,O/S Kubernetes,,Apache 2,no,docker image,no,yes,yes,,,,,,,dns,,,any,
Kubernetes,OpenShift,,Proprietary,yes,docker image,no,yes,yes,,,,,,,,,,any,
Mesos,O/S Mesos,,Apache 2,no,docker image,no,yes,yes,yes,,,,,,,,,any,
Mesos,Mesosphere DCOS,,Proprietary,no,docker image,no,yes,yes,yes,,,,,,,,,any,
Mesos,Apollo,,Apache 2,no,docker image,no,yes,yes,yes,,,,,,,,,any,
,Lagom,,Apache 2,no,,no,,partial,,,,,,,,,,"Java, Scala | Akka",
,NetKernel,,Apache 2/ Proprietary,no,,no,,,,,,,,,,,,JVM,
,Fabric8,,Apache 2,,,no,,,,,,,,,,,,JVM,
,Docker UCP,,Proprietary,no,docker image,no,yes,yes,,,,,,,,,,any,
,Docker Cloud,,Proprietary,yes,docker image,no,yes,yes,,,,,,,,,,any,
,Deis,,Apache 2,yes,,yes,yes,no,,,,,,,,,,any,
,Heroku,,Proprietary,yes,Git push,yes,no,no,no,yes,,,,yes,no,n/a,yes,any,
,GAE,,Proprietary,yes,,no,no,no,,,,,,,,,,"JVM, Python, JavaScript",
,Azure XXX,,Proprietary,yes,,no,,,,,,,,,,,,,
,AWS EBS,,Proprietary,yes,,no,yes,yes,,,,,,,,,,any,
,Dokku,,Apache 2,No,,yes,yes,no,,,,,,,,,,any,
,Flynn,,BSD Style,No,,yes,yes,no,,,,,,,,,,any,
,AWS Lambda,,Proprietary,yes,,no,no,no,,,,,,,,,,"Java, Node.js",
,Google cloud functions,,Proprietary,yes,,no,no,no,,,,,,,,,,Node.js,
,,,,,,,,no,,,,,,,,,,,
